date,value
1959-01-01,176185.0
1959-04-01,181322.0
1959-07-01,186450.0
1959-10-01,191128.0
1960-01-01,194949.0
1960-04-01,199295.0
1960-07-01,204103.0
1960-10-01,208409.0
1961-01-01,212253.0
1961-04-01,217156.0
1961-07-01,222791.0
1961-10-01,228969.0
1962-01-01,233302.0
1962-04-01,239432.0
1962-07-01,245791.0
1962-10-01,252438.0
1963-01-01,257443.0
1963-04-01,264646.0
1963-07-01,272064.0
1963-10-01,279256.0
1964-01-01,284877.0
1964-04-01,292203.0
1964-07-01,299773.0
1964-10-01,307034.0
1965-01-01,312731.0
1965-04-01,320010.0
1965-07-01,327395.0
1965-10-01,334510.0
1966-01-01,341259.0
1966-04-01,348424.0
1966-07-01,354072.0
1966-10-01,358537.0
1967-01-01,361862.0
1967-04-01,367447.0
1967-07-01,374765.0
1967-10-01,382055.0
1968-01-01,388021.0
1968-04-01,395418.0
1968-07-01,403087.0
1968-10-01,411381.0
1969-01-01,416067.0
1969-04-01,424224.0
1969-07-01,432047.0
1969-10-01,439911.0
1970-01-01,442980.0
1970-04-01,450595.0
1970-07-01,460315.0
1970-10-01,469364.0
1971-01-01,477184.0
1971-04-01,490134.0
1971-07-01,504220.0
1971-10-01,517869.0
1972-01-01,531563.0
1972-04-01,550187.0
1972-07-01,569366.0
1972-10-01,589786.0
1973-01-01,605291.0
1973-04-01,627950.0
1973-07-01,649008.0
1973-10-01,666543.0
1974-01-01,681413.0
1974-04-01,700754.0
1974-07-01,716574.0
1974-10-01,728426.0
1975-01-01,737733.0
1975-04-01,753522.0
1975-07-01,769738.0
1975-10-01,785568.0
1976-01-01,802392.0
1976-04-01,823307.0
1976-07-01,847760.0
1976-10-01,870518.0
1977-01-01,892257.0
1977-04-01,926270.0
1977-07-01,963193.0
1977-10-01,999213.0
1978-01-01,1026813.0
1978-04-01,1066897.0
1978-07-01,1109961.0
1978-10-01,1150674.0
1979-01-01,1186117.0
1979-04-01,1231418.0
1979-07-01,1278932.0
1979-10-01,1317030.0
1980-01-01,1357614.0
1980-04-01,1383696.0
1980-07-01,1421427.0
1980-10-01,1457828.0
1981-01-01,1484685.0
1981-04-01,1523566.0
1981-07-01,1555141.0
1981-10-01,1579504.0
1982-01-01,1600795.0
1982-04-01,1625667.0
1982-07-01,1635406.0
1982-10-01,1661290.0
1983-01-01,1692029.0
1983-04-01,1739644.0
1983-07-01,1796351.0
1983-10-01,1850645.0
1984-01-01,1904844.0
1984-04-01,1972432.0
1984-07-01,2034727.0
1984-10-01,2091991.0
1985-01-01,2168248.0
1985-04-01,2234883.0
1985-07-01,2303008.0
1985-10-01,2368542.0
1986-01-01,2416495.0
1986-04-01,2492143.0
1986-07-01,2578098.0
1986-10-01,2655581.0
1987-01-01,2737635.0
1987-04-01,2829845.0
1987-07-01,2899473.0
1987-10-01,2957964.0
1988-01-01,3027489.0
1988-04-01,3116342.0
1988-07-01,3190355.0
1988-10-01,3277078.0
1989-01-01,3332288.0
1989-04-01,3402085.0
