date,value
1959-01-01,3.05
1959-04-01,3.121
1959-07-01,3.272
1959-10-01,3.391
1960-01-01,3.558
1960-04-01,3.656
1960-07-01,3.558
1960-10-01,3.527
1961-01-01,3.61
1961-04-01,3.87
1961-07-01,4.069
1961-10-01,4.247
1962-01-01,4.429
1962-04-01,4.478
1962-07-01,4.639
1962-10-01,4.668
1963-01-01,4.773
1963-04-01,4.9
1963-07-01,5.053
1963-10-01,5.277
1964-01-01,5.324
1964-04-01,5.525
1964-07-01,5.379
1964-10-01,5.496
1965-01-01,5.671
1965-04-01,5.871
1965-07-01,5.915
1965-10-01,6.017
1966-01-01,6.199
1966-04-01,6.332
1966-07-01,6.565
1966-10-01,6.63
1967-01-01,6.571
1967-04-01,6.768
1967-07-01,7.359
1967-10-01,7.938
1968-01-01,7.84
1968-04-01,8.089
1968-07-01,8.353
1968-10-01,8.662
1969-01-01,8.656
1969-04-01,8.962
1969-07-01,9.323
1969-10-01,9.74
1970-01-01,10.256
1970-04-01,10.767
1970-07-01,11.311
1970-10-01,11.879
1971-01-01,12.56
1971-04-01,13.091
1971-07-01,13.65
1971-10-01,14.242
1972-01-01,14.845
1972-04-01,15.481
1972-07-01,16.151
1972-10-01,16.858
1973-01-01,17.633
1973-04-01,18.35
1973-07-01,19.047
1973-10-01,19.726
1974-01-01,20.385
1974-04-01,21.112
1974-07-01,21.906
1974-10-01,22.765
1975-01-01,23.691
1975-04-01,24.56
1975-07-01,25.37
1975-10-01,26.124
1976-01-01,26.819
1976-04-01,27.5
1976-07-01,28.17
1976-10-01,28.824
1977-01-01,29.46
1977-04-01,30.13
1977-07-01,30.824
1977-10-01,31.552
1978-01-01,32.182
1978-04-01,32.894
1978-07-01,33.692
1978-10-01,34.569
1979-01-01,35.533
1979-04-01,36.507
1979-07-01,37.49
1979-10-01,38.484
1980-01-01,39.493
1980-04-01,40.591
1980-07-01,41.776
1980-10-01,43.047
1981-01-01,44.413
1981-04-01,45.857
1981-07-01,47.388
1981-10-01,48.998
1982-01-01,50.69
1982-04-01,52.488
1982-07-01,54.382
1982-10-01,56.376
1983-01-01,58.475
1983-04-01,60.322
1983-07-01,61.916
1983-10-01,63.262
1984-01-01,64.351
1984-04-01,65.544
1984-07-01,66.831
1984-10-01,68.222
1985-01-01,69.606
1985-04-01,71.192
1985-07-01,72.835
1985-10-01,74.516
1986-01-01,76.389
1986-04-01,77.915
1986-07-01,79.249
1986-10-01,80.363
1987-01-01,81.228
1987-04-01,82.026
1987-07-01,82.738
1987-10-01,83.385
1988-01-01,83.904
1988-04-01,84.867
1988-07-01,86.287
1988-10-01,88.191
1989-01-01,90.725
1989-04-01,92.358
1989-07-01,93.258
1989-10-01,93.408
1990-01-01,92.653
1990-04-01,93.067
1990-07-01,94.486
1990-10-01,96.901
1991-01-01,100.468
1991-04-01,103.382
1991-07-01,105.788
1991-10-01,107.694
1992-01-01,109.076
1992-04-01,110.122
1992-07-01,110.847
1992-10-01,111.271
1993-01-01,111.282
1993-04-01,111.295
1993-07-01,111.309
1993-10-01,111.329
1994-01-01,111.342
1994-04-01,112.102
1994-07-01,113.627
1994-10-01,115.89
1995-01-01,118.909
1995-04-01,120.826
1995-07-01,121.639
1995-10-01,121.346
1996-01-01,119.944
1996-04-01,119.162
1996-07-01,118.982
1996-10-01,119.414
1997-01-01,120.46
1997-04-01,120.572
1997-07-01,119.773
1997-10-01,118.04
1998-01-01,115.379
1998-04-01,113.648
1998-07-01,112.847
1998-10-01,113.004
1999-01-01,114.04
1999-04-01,114.238
1999-07-01,113.538
1999-10-01,111.939
2000-01-01,109.49
2000-04-01,109.14
2000-07-01,110.912
2000-10-01,114.793
2001-01-01,120.896
2001-04-01,126.372
2001-07-01,131.327
2001-10-01,135.773
2002-01-01,139.672
2002-04-01,145.746
2002-07-01,153.991
2002-10-01,164.401
2003-01-01,176.975
2003-04-01,184.757
2003-07-01,187.754
2003-10-01,185.972
2004-01-01,179.401
2004-04-01,174.873
2004-07-01,172.37
2004-10-01,171.897
2005-01-01,173.477
2005-04-01,175.565
2005-07-01,178.19
2005-10-01,181.337
2006-01-01,184.996
2006-04-01,187.927
2006-07-01,190.143
2006-10-01,191.561
2007-01-01,192.303
2007-04-01,192.49
2007-07-01,192.114
2007-10-01,191.249
2008-01-01,189.832
2008-04-01,194.93
2008-07-01,206.409
2008-10-01,224.454
2009-01-01,248.985
2009-04-01,265.98
2009-07-01,275.543
2009-10-01,277.575
2010-01-01,272.09
2010-04-01,267.857
2010-07-01,264.862
2010-10-01,263.077
2011-01-01,262.476
2011-04-01,263.568
2011-07-01,266.29
2011-10-01,270.729
2012-01-01,276.841
2012-04-01,280.986
2012-07-01,283.204
2012-10-01,283.46
2013-01-01,277.074
2013-04-01,271.752
2013-07-01,267.57
2013-10-01,264.465
2014-01-01,262.679
2014-04-01,261.767
2014-07-01,261.822
2014-10-01,262.785
2015-01-01,264.566
2015-04-01,266.931
2015-07-01,269.923
2015-10-01,273.53
2016-01-01,277.379
2016-04-01,281.124
2016-07-01,284.62
2016-10-01,287.951
2017-01-01,291.071
2017-04-01,292.293
2017-07-01,291.543
2017-10-01,288.888
2018-01-01,284.074
2018-04-01,282.889
2018-07-01,285.449
2018-10-01,291.659
2019-01-01,301.795
2019-04-01,307.611
2019-07-01,309.025
2019-10-01,306.038
2020-01-01,298.803
2020-04-01,293.33
2020-07-01,289.792
2020-10-01,287.787
2021-01-01,287.696
2021-04-01,283.483
2021-07-01,275.117
2021-10-01,262.684
2022-01-01,246.023
2022-04-01,237.926
2022-07-01,238.399
2022-10-01,247.729
2023-01-01,266.528
2023-04-01,279.311
2023-07-01,286.565
2023-10-01,287.831
2024-01-01,283.115
2024-04-01,279.464
2024-07-01,276.641
2024-10-01,274.744
2025-01-01,274.079
2025-04-01,272.103
2025-07-01,269.22
2025-10-01,265.543
2026-01-01,261.037
