date,value
1959-01-01,129231.0
1959-04-01,132392.0
1959-07-01,134057.0
1959-10-01,136647.0
1960-01-01,139272.0
1960-04-01,141913.0
1960-07-01,143167.0
1960-10-01,145595.0
1961-01-01,146198.0
1961-04-01,148196.0
1961-07-01,149684.0
1961-10-01,152991.0
1962-01-01,154537.0
1962-04-01,157694.0
1962-07-01,160115.0
1962-10-01,163471.0
1963-01-01,165593.0
1963-04-01,167943.0
1963-07-01,170151.0
1963-10-01,174187.0
1964-01-01,176590.0
1964-04-01,179981.0
1964-07-01,183449.0
1964-10-01,187929.0
1965-01-01,193189.0
1965-04-01,197976.0
1965-07-01,202871.0
1965-10-01,208197.0
1966-01-01,214567.0
1966-04-01,222360.0
1966-07-01,228551.0
1966-10-01,232927.0
1967-01-01,239692.0
1967-04-01,246049.0
1967-07-01,251645.0
1967-10-01,255253.0
1968-01-01,263718.0
1968-04-01,270520.0
1968-07-01,278278.0
1968-10-01,286805.0
1969-01-01,295197.0
1969-04-01,304811.0
1969-07-01,313227.0
1969-10-01,320276.0
1970-01-01,340260.0
1970-04-01,351045.0
1970-07-01,358709.0
1970-10-01,365371.0
1971-01-01,372802.0
1971-04-01,380947.0
1971-07-01,389653.0
1971-10-01,395247.0
1972-01-01,406924.0
1972-04-01,415268.0
1972-07-01,424653.0
1972-10-01,436833.0
1973-01-01,452646.0
1973-04-01,468869.0
1973-07-01,489094.0
1973-10-01,506316.0
1974-01-01,522214.0
1974-04-01,540484.0
1974-07-01,553784.0
1974-10-01,565221.0
1975-01-01,570316.0
1975-04-01,572345.0
1975-07-01,576400.0
1975-10-01,579983.0
1976-01-01,584730.0
1976-04-01,595318.0
1976-07-01,607147.0
1976-10-01,620242.0
1977-01-01,637664.0
1977-04-01,653209.0
1977-07-01,670301.0
1977-10-01,694536.0
1978-01-01,714469.0
1978-04-01,734520.0
1978-07-01,749185.0
1978-10-01,769609.0
1979-01-01,793376.0
1979-04-01,815005.0
1979-07-01,837024.0
1979-10-01,854982.0
1980-01-01,876745.0
1980-04-01,883840.0
1980-07-01,895758.0
1980-10-01,922667.0
1981-01-01,938293.0
1981-04-01,979539.0
1981-07-01,1017419.0
1981-10-01,1041690.0
1982-01-01,1070947.0
1982-04-01,1101141.0
1982-07-01,1127930.0
1982-10-01,1133060.0
1983-01-01,1164624.0
1983-04-01,1188301.0
1983-07-01,1220561.0
1983-10-01,1250208.0
1984-01-01,1298722.0
1984-04-01,1356792.0
1984-07-01,1404956.0
1984-10-01,1463098.0
1985-01-01,1494791.0
1985-04-01,1534690.0
1985-07-01,1578046.0
1985-10-01,1645088.0
1986-01-01,1689872.0
1986-04-01,1744363.0
1986-07-01,1804994.0
1986-10-01,1874981.0
1987-01-01,1919802.0
1987-04-01,1961382.0
1987-07-01,2014688.0
1987-10-01,2071514.0
1988-01-01,2121675.0
1988-04-01,2177149.0
1988-07-01,2218830.0
1988-10-01,2289762.0
1989-01-01,2344385.0
1989-04-01,2403860.0
1989-07-01,2432747.0
1989-10-01,2482035.0
1990-01-01,2529951.0
1990-04-01,2566832.0
1990-07-01,2593249.0
1990-10-01,2613894.0
1991-01-01,2595754.0
1991-04-01,2595735.0
1991-07-01,2581301.0
1991-10-01,2556446.0
1992-01-01,2564386.0
1992-04-01,2564493.0
1992-07-01,2575089.0
1992-10-01,2574349.0
1993-01-01,2601186.0
1993-04-01,2638699.0
1993-07-01,2681075.0
1993-10-01,2722099.0
1994-01-01,2784412.0
1994-04-01,2830783.0
1994-07-01,2879971.0
1994-10-01,2930133.0
1995-01-01,2988770.0
1995-04-01,3054812.0
1995-07-01,3089682.0
1995-10-01,3141423.0
1996-01-01,3172843.0
1996-04-01,3232368.0
1996-07-01,3277777.0
1996-10-01,3302602.0
1997-01-01,3366649.0
1997-04-01,3441517.0
1997-07-01,3544383.0
1997-10-01,3623539.0
1998-01-01,3738257.0
1998-04-01,3868850.0
1998-07-01,3971834.0
1998-10-01,4070607.0
1999-01-01,4191035.0
1999-04-01,4259533.0
1999-07-01,4412803.0
1999-10-01,4477210.0
2000-01-01,4598224.0
2000-04-01,4707875.0
2000-07-01,4767906.0
2000-10-01,4828149.0
2001-01-01,4833084.0
2001-04-01,4917015.0
2001-07-01,4951084.0
2001-10-01,4969379.0
2002-01-01,4984813.0
2002-04-01,4982733.0
2002-07-01,4978380.0
2002-10-01,4986640.0
2003-01-01,4982739.0
2003-04-01,4986364.0
2003-07-01,5027076.0
2003-10-01,5022088.0
2004-01-01,5096909.0
2004-04-01,5110624.0
2004-07-01,5175890.0
2004-10-01,5253240.0
2005-01-01,5321955.0
2005-04-01,5395388.0
2005-07-01,5434577.0
2005-10-01,5535584.0
2006-01-01,5653660.0
2006-04-01,5762397.0
2006-07-01,5806500.0
2006-10-01,5948632.0
2007-01-01,6080616.0
2007-04-01,6278260.0
2007-07-01,6484070.0
2007-10-01,6641589.0
2008-01-01,6766665.0
2008-04-01,6885648.0
2008-07-01,6956857.0
2008-10-01,6919005.0
2009-01-01,6863317.0
2009-04-01,6796849.0
2009-07-01,6650604.0
2009-10-01,6477691.0
2010-01-01,6456101.0
2010-04-01,6396109.0
2010-07-01,6440644.0
2010-10-01,6375555.0
2011-01-01,6401324.0
2011-04-01,6504597.0
2011-07-01,6603666.0
2011-10-01,6714331.0
2012-01-01,6759674.0
2012-04-01,6829853.0
2012-07-01,6964708.0
2012-10-01,7125956.0
2013-01-01,7171992.0
2013-04-01,7308611.0
2013-07-01,7479942.0
2013-10-01,7584536.0
2014-01-01,7711508.0
2014-04-01,7826469.0
2014-07-01,7955411.0
2014-10-01,8130085.0
2015-01-01,8297341.0
2015-04-01,8514861.0
2015-07-01,8638505.0
2015-10-01,8737290.0
2016-01-01,8931895.0
2016-04-01,8982707.0
2016-07-01,9067254.0
2016-10-01,9028576.0
2017-01-01,9194511.0
2017-04-01,9327822.0
2017-07-01,9417833.0
2017-10-01,9580249.0
2018-01-01,9681733.0
2018-04-01,10058716.0
2018-07-01,10175745.0
2018-10-01,10286308.0
2019-01-01,10504299.0
2019-04-01,10631489.0
2019-07-01,10832146.0
2019-10-01,10885289.0
2020-01-01,11645201.0
2020-04-01,12118846.0
2020-07-01,12016521.0
2020-10-01,11957679.0
2021-01-01,12084691.0
2021-04-01,12340147.0
2021-07-01,12510634.0
2021-10-01,12695292.0
2022-01-01,12916542.0
2022-04-01,13114590.0
2022-07-01,13192985.0
2022-10-01,13150107.0
2023-01-01,13302521.0
2023-04-01,13348717.0
2023-07-01,13380406.0
2023-10-01,13375288.0
2024-01-01,13543899.0
2024-04-01,13709473.0
2024-07-01,13834876.0
2024-10-01,13700841.0
2025-01-01,13836358.0
2025-04-01,13963348.0
2025-07-01,14117068.0
2025-10-01,14182611.0
