date,value
1959-01-01,20.7282
1959-02-01,20.9603
1959-03-01,21.209
1959-04-01,21.4893
1959-05-01,21.7188
1959-06-01,21.9859
1959-07-01,22.4256
1959-08-01,22.8187
1959-09-01,23.2035
1959-10-01,23.5847
1959-11-01,23.7252
1959-12-01,24.0666
1960-01-01,24.2748
1960-02-01,24.4392
1960-03-01,24.6403
1960-04-01,24.8241
1960-05-01,24.9725
1960-06-01,25.1264
1960-07-01,25.3797
1960-08-01,25.6171
1960-09-01,25.8141
1960-10-01,25.9654
1960-11-01,26.0828
1960-12-01,26.2762
1961-01-01,26.2898
1961-02-01,26.912
1961-03-01,27.3732
1961-04-01,27.1321
1961-05-01,26.9576
1961-06-01,27.0509
1961-07-01,27.1505
1961-08-01,27.2368
1961-09-01,27.2024
1961-10-01,27.3099
1961-11-01,27.4494
1961-12-01,27.6119
1962-01-01,27.8617
1962-02-01,28.0461
1962-03-01,28.3085
1962-04-01,28.4962
1962-05-01,28.6966
1962-06-01,29.0264
1962-07-01,29.2979
1962-08-01,29.534
1962-09-01,29.697
1962-10-01,29.9067
1962-11-01,30.1116
1962-12-01,30.2333
1963-01-01,30.5456
1963-02-01,30.9054
1963-03-01,31.2414
1963-04-01,31.5371
1963-05-01,31.8349
1963-06-01,32.1157
1963-07-01,32.4699
1963-08-01,32.1991
1963-09-01,32.7884
1963-10-01,33.7147
1963-11-01,34.0328
1963-12-01,34.1852
1964-01-01,34.6292
1964-02-01,35.0578
1964-03-01,35.5116
1964-04-01,35.9241
1964-05-01,36.3619
1964-06-01,36.7495
1964-07-01,37.3749
1964-08-01,37.9725
1964-09-01,38.3619
1964-10-01,38.816
1964-11-01,39.1144
1964-12-01,39.5067
1965-01-01,39.9919
1965-02-01,40.2656
1965-03-01,40.6841
1965-04-01,41.2328
1965-05-01,41.7653
1965-06-01,42.2325
1965-07-01,42.8655
1965-08-01,43.4745
1965-09-01,43.8852
1965-10-01,44.3817
1965-11-01,44.7965
1965-12-01,45.0223
1966-01-01,45.4362
1966-02-01,45.766
