date,value
1970-01-01,280814.0
1970-04-01,274924.0
1970-07-01,282367.0
1970-10-01,291242.0
1971-01-01,292043.0
1971-04-01,294417.0
1971-07-01,304952.0
1971-10-01,317118.0
1972-01-01,320987.0
1972-04-01,314976.0
1972-07-01,319574.0
1972-10-01,331576.0
1973-01-01,339859.0
1973-04-01,333932.0
1973-07-01,332838.0
1973-10-01,339432.0
1974-01-01,342459.0
1974-04-01,336029.0
1974-07-01,340881.0
1974-10-01,351457.0
1975-01-01,371201.0
1975-04-01,387905.0
1975-07-01,411381.0
1975-10-01,437305.0
1976-01-01,461423.0
1976-04-01,470821.0
1976-07-01,488327.0
1976-10-01,506445.0
1977-01-01,524258.0
1977-04-01,523221.0
1977-07-01,543350.0
1977-10-01,564094.0
1978-01-01,585233.0
1978-04-01,587939.0
1978-07-01,603571.0
1978-10-01,619207.0
1979-01-01,630518.0
1979-04-01,626388.0
1979-07-01,638836.0
1979-10-01,657968.0
1980-01-01,667123.0
1980-04-01,682710.0
1980-07-01,709958.0
1980-10-01,737746.0
1981-01-01,773676.0
1981-04-01,771255.0
1981-07-01,789799.0
1981-10-01,825509.0
1982-01-01,858888.0
1982-04-01,867916.0
1982-07-01,925631.0
1982-10-01,987719.0
1983-01-01,1043339.0
1983-04-01,1090291.0
1983-07-01,1138188.0
1983-10-01,1174425.0
1984-01-01,1223898.0
1984-04-01,1255100.0
1984-07-01,1309183.0
1984-10-01,1373366.0
1985-01-01,1415232.0
1985-04-01,1460484.0
1985-07-01,1506558.0
1985-10-01,1597083.0
1986-01-01,1634259.0
1986-04-01,1684939.0
1986-07-01,1742445.0
1986-10-01,1811744.0
1987-01-01,1839271.0
1987-04-01,1871150.0
1987-07-01,1893110.0
1987-10-01,1954065.0
1988-01-01,1996711.0
1988-04-01,2013414.0
1988-07-01,2051735.0
1988-10-01,2095179.0
1989-01-01,2133419.0
1989-04-01,2142122.0
1989-07-01,2180726.0
1989-10-01,2245171.0
1990-01-01,2329264.0
1990-04-01,2368772.0
1990-07-01,2437551.0
1990-10-01,2536545.0
1991-01-01,2598351.0
1991-04-01,2642863.0
1991-07-01,2745729.0
1991-10-01,2833034.0
1992-01-01,2917630.0
1992-04-01,2976774.0
1992-07-01,3048291.0
1992-10-01,3129308.0
1993-01-01,3187556.0
1993-04-01,3252285.0
1993-07-01,3294796.0
1993-10-01,3382197.0
1994-01-01,3434208.0
1994-04-01,3442868.0
1994-07-01,3479652.0
1994-10-01,3543118.0
1995-01-01,3609459.0
1995-04-01,3634808.0
1995-07-01,3653199.0
1995-10-01,3684209.0
1996-01-01,3764019.0
1996-04-01,3738633.0
1996-07-01,3777808.0
1996-10-01,3825994.0
1997-01-01,3874106.0
1997-04-01,3804568.0
1997-07-01,3816381.0
1997-10-01,3846706.0
1998-01-01,3872048.0
1998-04-01,3790379.0
1998-07-01,3762333.0
1998-10-01,3787391.0
1999-01-01,3794549.0
1999-04-01,3685167.0
1999-07-01,3667597.0
1999-10-01,3715531.0
2000-01-01,3687974.0
2000-04-01,3495713.0
2000-07-01,3438416.0
2000-10-01,3413541.0
2001-01-01,3434386.0
2001-04-01,3274176.0
2001-07-01,3338707.0
2001-10-01,3393758.0
2002-01-01,3443674.0
2002-04-01,3463544.0
2002-07-01,3552588.0
2002-10-01,3647385.0
2003-01-01,3710779.0
2003-04-01,3816279.0
2003-07-01,3924045.0
2003-10-01,4044054.0
2004-01-01,4176667.0
2004-04-01,4218734.0
2004-07-01,4303366.0
2004-10-01,4406352.0
2005-01-01,4572397.0
2005-04-01,4527630.0
2005-07-01,4601378.0
2005-10-01,4714607.0
2006-01-01,4872804.0
2006-04-01,4797450.0
2006-07-01,4843208.0
2006-10-01,4901208.0
2007-01-01,5054278.0
2007-04-01,4943033.0
2007-07-01,5049242.0
2007-10-01,5136288.0
2008-01-01,5334048.0
2008-04-01,5285025.0
2008-07-01,5814240.0
2008-10-01,6372651.0
2009-01-01,6836338.0
2009-04-01,7176464.0
2009-07-01,7554537.0
2009-10-01,7814359.0
2010-01-01,8294251.0
2010-04-01,8639220.0
2010-07-01,9027611.0
2010-10-01,9395411.0
2011-01-01,9656573.0
2011-04-01,9746879.0
2011-07-01,10132039.0
2011-10-01,10452503.0
2012-01-01,10876394.0
2012-04-01,11048217.0
2012-07-01,11274396.0
2012-10-01,11586560.0
2013-01-01,11922454.0
2013-04-01,11906573.0
2013-07-01,11980978.0
2013-10-01,12355194.0
2014-01-01,12643201.0
2014-04-01,12572021.0
2014-07-01,12784809.0
2014-10-01,13023818.0
2015-01-01,13090183.0
2015-04-01,13075036.0
2015-07-01,13123756.0
2015-10-01,13699868.0
2016-01-01,13929762.0
2016-04-01,13937309.0
2016-07-01,14177750.0
2016-10-01,14439326.0
2017-01-01,14374457.0
2017-04-01,14370898.0
2017-07-01,14681827.0
2017-10-01,14823106.0
2018-01-01,15436782.0
2018-04-01,15483548.0
2018-07-01,15778806.0
2018-10-01,16120742.0
2019-01-01,16223851.0
2019-04-01,16204719.0
2019-07-01,16825978.0
2019-10-01,17187392.0
2020-01-01,17228778.0
2020-04-01,20548375.0
2020-07-01,21037627.0
2020-10-01,21651416.0
2021-01-01,22006863.0
2021-04-01,22353532.0
2021-07-01,22305879.0
2021-10-01,23168329.0
2022-01-01,23903280.0
2022-04-01,23933481.0
2022-07-01,24320206.0
2022-10-01,24539241.0
2023-01-01,24714826.0
2023-04-01,25482075.0
2023-07-01,26349499.0
2023-10-01,26960227.0
2024-01-01,27533422.0
2024-04-01,27634108.0
2024-07-01,28325715.0
2024-10-01,28859125.0
2025-01-01,28932973.238149263
2025-04-01,28976176.744858213
2025-07-01,30298281.33869089
2025-10-01,30870713.09449654
