date,value
1959-01-01,117.195
1959-04-01,118.535
1959-07-01,119.492
1959-10-01,118.608
1960-01-01,116.951
1960-04-01,118.38
1960-07-01,122.419
1960-10-01,124.33
1961-01-01,126.218
1961-04-01,127.254
1961-07-01,129.961
1961-10-01,133.516
1962-01-01,137.107
1962-04-01,138.426
1962-07-01,142.052
1962-10-01,143.562
1963-01-01,143.724
1963-04-01,144.132
1963-07-01,149.927
1963-10-01,150.989
1964-01-01,152.554
1964-04-01,154.314
1964-07-01,156.033
1964-10-01,156.152
1965-01-01,157.025
1965-04-01,159.808
1965-07-01,166.761
1965-10-01,172.619
1966-01-01,177.032
1966-04-01,181.659
1966-07-01,189.466
1966-10-01,193.621
1967-01-01,202.588
1967-04-01,203.811
1967-07-01,208.379
1967-10-01,213.293
1968-01-01,219.749
1968-04-01,223.637
1968-07-01,227.37
1968-10-01,231.347
1969-01-01,233.705
1969-04-01,236.859
1969-07-01,242.535
1969-10-01,242.838
1970-01-01,247.889
1970-04-01,249.143
1970-07-01,254.584
1970-10-01,258.708
1971-01-01,261.905
1971-04-01,266.118
1971-07-01,269.783
1971-10-01,272.067
1972-01-01,282.228
1972-04-01,286.464
1972-07-01,284.316
1972-10-01,291.749
1973-01-01,299.571
1973-04-01,302.709
1973-07-01,304.189
1973-10-01,312.593
1974-01-01,324.586
1974-04-01,334.957
1974-07-01,346.71
1974-10-01,359.228
1975-01-01,370.138
1975-04-01,373.408
1975-07-01,385.394
1975-10-01,395.571
1976-01-01,401.291
1976-04-01,400.985
1976-07-01,403.517
1976-10-01,410.818
1977-01-01,421.202
1977-04-01,431.362
1977-07-01,438.014
1977-10-01,446.749
1978-01-01,452.589
1978-04-01,472.288
1978-07-01,484.229
1978-10-01,496.241
1979-01-01,501.818
1979-04-01,516.508
1979-07-01,533.106
1979-10-01,547.775
1980-01-01,568.781
1980-04-01,588.547
1980-07-01,592.169
1980-10-01,608.893
1981-01-01,633.35
1981-04-01,648.673
1981-07-01,657.774
1981-10-01,677.727
1982-01-01,688.104
1982-04-01,703.093
1982-07-01,717.344
1982-10-01,737.351
1983-01-01,747.852
1983-04-01,761.061
1983-07-01,782.216
1983-10-01,775.099
1984-01-01,794.021
