date,value
1959-01-01,120390.0
1959-04-01,123583.0
1959-07-01,126952.0
1959-10-01,130099.0
1960-01-01,133067.0
1960-04-01,135591.0
1960-07-01,138517.0
1960-10-01,141378.0
1961-01-01,144159.0
1961-04-01,146812.0
1961-07-01,150111.0
1961-10-01,154027.0
1962-01-01,157045.0
1962-04-01,160433.0
1962-07-01,164277.0
1962-10-01,168307.0
1963-01-01,171943.0
1963-04-01,175980.0
1963-07-01,180606.0
1963-10-01,185106.0
1964-01-01,189423.0
1964-04-01,193538.0
1964-07-01,198039.0
1964-10-01,202335.0
1965-01-01,206582.0
1965-04-01,210488.0
1965-07-01,215034.0
1965-10-01,219449.0
1966-01-01,224085.0
1966-04-01,227382.0
1966-07-01,230300.0
1966-10-01,232742.0
1967-01-01,234955.0
1967-04-01,237210.0
1967-07-01,241614.0
1967-10-01,245974.0
1968-01-01,250119.0
1968-04-01,253803.0
1968-07-01,258280.0
1968-10-01,262934.0
1969-01-01,265603.0
1969-04-01,269871.0
1969-07-01,274629.0
1969-10-01,278689.0
1970-01-01,277740.0
1970-04-01,278865.0
1970-07-01,281771.0
1970-10-01,286015.0
1971-01-01,291470.0
1971-04-01,295430.0
1971-07-01,302126.0
1971-10-01,309454.0
1972-01-01,317906.0
1972-04-01,324324.0
1972-07-01,333264.0
1972-10-01,343552.0
1973-01-01,353598.0
1973-04-01,361862.0
1973-07-01,371042.0
1973-10-01,382218.0
1974-01-01,392321.0
1974-04-01,400813.0
1974-07-01,410404.0
1974-10-01,419339.0
1975-01-01,427459.0
1975-04-01,435481.0
1975-07-01,445509.0
1975-10-01,459087.0
1976-01-01,474026.0
1976-04-01,485633.0
1976-07-01,500528.0
1976-10-01,517073.0
1977-01-01,536389.0
1977-04-01,556489.0
1977-07-01,579584.0
1977-10-01,602997.0
1978-01-01,627038.0
1978-04-01,650880.0
1978-07-01,678732.0
1978-10-01,708641.0
1979-01-01,740030.0
1979-04-01,766252.0
1979-07-01,795664.0
1979-10-01,826724.0
1980-01-01,860063.0
1980-04-01,875720.0
1980-07-01,900209.0
1980-10-01,926526.0
1981-01-01,944614.0
1981-04-01,966081.0
1981-07-01,980800.0
1981-10-01,998261.0
1982-01-01,1012723.0
1982-04-01,1021850.0
1982-07-01,1017038.0
1982-10-01,1031175.0
1983-01-01,1033170.0
1983-04-01,1057024.0
1983-07-01,1085787.0
1983-10-01,1116384.0
1984-01-01,1153101.0
1984-04-01,1182190.0
1984-07-01,1210049.0
1984-10-01,1243294.0
1985-01-01,1316829.0
1985-04-01,1348447.0
1985-07-01,1402267.0
1985-10-01,1450249.0
1986-01-01,1489804.0
1986-04-01,1529839.0
1986-07-01,1589114.0
1986-10-01,1649024.0
1987-01-01,1694524.0
1987-04-01,1757670.0
1987-07-01,1804085.0
1987-10-01,1829012.0
1988-01-01,1887976.0
1988-04-01,1946178.0
1988-07-01,1999611.0
1988-10-01,2055294.0
1989-01-01,2092542.0
1989-04-01,2143831.0
1989-07-01,2205558.0
1989-10-01,2260582.0
1990-01-01,2341846.0
1990-04-01,2396457.0
1990-07-01,2444405.0
1990-10-01,2489811.0
1991-01-01,2539212.0
1991-04-01,2594631.0
1991-07-01,2614926.0
1991-10-01,2667880.0
1992-01-01,2717077.0
1992-04-01,2745769.0
1992-07-01,2791935.0
1992-10-01,2840903.0
1993-01-01,2865468.0
1993-04-01,2915007.0
1993-07-01,2957541.0
1993-10-01,2999676.0
1994-01-01,3042089.0
1994-04-01,3082415.0
1994-07-01,3118959.0
1994-10-01,3166443.0
1995-01-01,3204273.0
1995-04-01,3245223.0
1995-07-01,3286337.0
1995-10-01,3320508.0
1996-01-01,3397077.0
1996-04-01,3449820.0
1996-07-01,3490826.0
1996-10-01,3538631.0
1997-01-01,3590819.0
1997-04-01,3636217.0
1997-07-01,3707979.0
1997-10-01,3746359.0
1998-01-01,3826394.0
1998-04-01,3893247.0
1998-07-01,3953383.0
1998-10-01,4048590.0
1999-01-01,4153253.0
1999-04-01,4237787.0
1999-07-01,4339896.0
1999-10-01,4424263.0
2000-01-01,4513839.0
2000-04-01,4609402.0
2000-07-01,4708944.0
2000-10-01,4805227.0
2001-01-01,4918591.0
2001-04-01,5061838.0
2001-07-01,5204313.0
2001-10-01,5311785.0
2002-01-01,5475225.0
2002-04-01,5618347.0
2002-07-01,5805274.0
2002-10-01,6016313.0
2003-01-01,6191637.0
2003-04-01,6423530.0
2003-07-01,6661508.0
2003-10-01,6895613.0
2004-01-01,7078011.0
2004-04-01,7330378.0
2004-07-01,7569696.0
2004-10-01,7840578.0
2005-01-01,8059922.0
2005-04-01,8339411.0
2005-07-01,8617811.0
2005-10-01,8902867.0
2006-01-01,9195175.0
2006-04-01,9505630.0
2006-07-01,9737882.0
2006-10-01,9899344.0
2007-01-01,10078056.0
2007-04-01,10290400.0
2007-07-01,10469725.0
2007-10-01,10577134.0
2008-01-01,10648334.0
2008-04-01,10644885.0
2008-07-01,10624279.0
2008-10-01,10540066.0
2009-01-01,10546799.0
2009-04-01,10522721.0
2009-07-01,10454666.0
2009-10-01,10406753.0
2010-01-01,10281906.0
2010-04-01,10221685.0
2010-07-01,10125257.0
2010-10-01,9957898.0
2011-01-01,9927045.0
2011-04-01,9871638.0
2011-07-01,9802504.0
2011-10-01,9754939.0
2012-01-01,9698257.0
2012-04-01,9636201.0
2012-07-01,9560304.0
2012-10-01,9506994.0
2013-01-01,9469164.0
2013-04-01,9432022.0
2013-07-01,9414881.0
2013-10-01,9395044.0
2014-01-01,9372694.0
2014-04-01,9353141.0
2014-07-01,9335637.0
2014-10-01,9341508.0
2015-01-01,9328401.0
2015-04-01,9356329.0
2015-07-01,9375482.0
2015-10-01,9435806.0
2016-01-01,9460440.0
2016-04-01,9498292.0
2016-07-01,9541363.0
2016-10-01,9591930.0
2017-01-01,9664615.0
2017-04-01,9723509.0
2017-07-01,9783508.0
2017-10-01,9852345.0
2018-01-01,9916567.0
2018-04-01,9989389.0
2018-07-01,10063309.0
2018-10-01,10121618.0
2019-01-01,10175756.0
2019-04-01,10254843.0
2019-07-01,10330399.0
2019-10-01,10391320.0
2020-01-01,10462087.0
2020-04-01,10525953.0
2020-07-01,10663806.0
2020-10-01,10783195.0
2021-01-01,10922086.0
2021-04-01,11379473.0
2021-07-01,11591933.0
2021-10-01,11814490.0
2022-01-01,12074013.0
2022-04-01,12333965.0
2022-07-01,12530236.0
2022-10-01,12654093.0
2023-01-01,12742652.0
2023-04-01,12841412.0
2023-07-01,12959685.0
2023-10-01,13029400.0
2024-01-01,13101946.0
2024-04-01,13207660.0
2024-07-01,13312929.0
2024-10-01,13395530.0
2025-01-01,13479642.0
2025-04-01,13597300.0
2025-07-01,13713640.0
2025-10-01,13783209.0
2026-01-01,13852982.0
