date,value
1959-01-01,3.42
1959-02-01,3.36
1959-03-01,3.3
1959-04-01,3.39
1959-05-01,3.57
1959-06-01,3.71
1959-07-01,3.71
1959-08-01,3.58
1959-09-01,3.78
1959-10-01,3.62
1959-11-01,3.55
1959-12-01,3.7
1960-01-01,3.72
1960-02-01,3.6
1960-03-01,3.57
1960-04-01,3.56
1960-05-01,3.6
1960-06-01,3.55
1960-07-01,3.5
1960-08-01,3.33
1960-09-01,3.42
1960-10-01,3.53
1960-11-01,3.4
1960-12-01,3.4
1961-01-01,3.39
1961-02-01,3.31
1961-03-01,3.45
1961-04-01,3.48
1961-05-01,3.43
1961-06-01,3.52
1961-07-01,3.51
1961-08-01,3.52
1961-09-01,3.53
1961-10-01,3.42
1961-11-01,3.41
1961-12-01,3.47
1962-01-01,3.34
1962-02-01,3.21
1962-03-01,3.14
1962-04-01,3.06
1962-05-01,3.11
1962-06-01,3.25
1962-07-01,3.27
1962-08-01,3.23
1962-09-01,3.11
1962-10-01,3.02
1962-11-01,3.04
1962-12-01,3.07
1963-01-01,3.1
1963-02-01,3.15
1963-03-01,3.05
1963-04-01,3.1
1963-05-01,3.11
1963-06-01,3.21
1963-07-01,3.22
1963-08-01,3.13
1963-09-01,3.2
1963-10-01,3.2
1963-11-01,3.3
1963-12-01,3.27
1964-01-01,3.22
1964-02-01,3.14
1964-03-01,3.28
1964-04-01,3.28
1964-05-01,3.2
1964-06-01,3.2
1964-07-01,3.18
1964-08-01,3.19
1964-09-01,3.23
1964-10-01,3.25
1964-11-01,3.18
1964-12-01,3.13
1965-01-01,3.06
1965-02-01,3.09
1965-03-01,3.17
1965-04-01,3.15
1965-05-01,3.17
1965-06-01,3.24
1965-07-01,3.27
1965-08-01,3.24
1965-09-01,3.35
1965-10-01,3.4
1965-11-01,3.45
1965-12-01,3.54
1966-01-01,3.52
1966-02-01,3.64
1966-03-01,3.72
1966-04-01,3.56
1966-05-01,3.65
1966-06-01,3.77
1966-07-01,3.95
1966-08-01,4.12
1966-09-01,4.12
1966-10-01,3.93
1966-11-01,3.86
1966-12-01,3.86
1967-01-01,3.54
1967-02-01,3.52
1967-03-01,3.55
1967-04-01,3.6
1967-05-01,3.89
1967-06-01,3.96
1967-07-01,4.02
1967-08-01,3.99
1967-09-01,4.12
1967-10-01,4.29
1967-11-01,4.34
1967-12-01,4.43
1968-01-01,4.29
1968-02-01,4.31
1968-03-01,4.54
1968-04-01,4.34
1968-05-01,4.54
1968-06-01,4.49
1968-07-01,4.33
1968-08-01,4.21
1968-09-01,4.38
1968-10-01,4.49
1968-11-01,4.6
1968-12-01,4.82
1969-01-01,4.85
1969-02-01,4.98
1969-03-01,5.26
1969-04-01,5.19
1969-05-01,5.33
1969-06-01,5.75
1969-07-01,5.75
1969-08-01,6.0
1969-09-01,6.26
1969-10-01,6.09
1969-11-01,6.3
1969-12-01,6.82
1970-01-01,6.63
1970-02-01,6.22
1970-03-01,6.05
1970-04-01,6.65
1970-05-01,7.0
1970-06-01,6.93
1970-07-01,6.42
1970-08-01,6.17
1970-09-01,6.31
1970-10-01,6.37
1970-11-01,5.71
1970-12-01,5.47
1971-01-01,5.35
1971-02-01,5.23
1971-03-01,5.17
1971-04-01,5.37
1971-05-01,5.9
1971-06-01,5.95
1971-07-01,6.06
1971-08-01,5.82
1971-09-01,5.37
1971-10-01,5.06
1971-11-01,5.2
1971-12-01,5.21
1972-01-01,5.12
1972-02-01,5.28
1972-03-01,5.31
1972-04-01,5.43
1972-05-01,5.3
1972-06-01,5.33
1972-07-01,5.41
1972-08-01,5.3
1972-09-01,5.36
1972-10-01,5.18
1972-11-01,5.02
1972-12-01,5.05
1973-01-01,5.05
1973-02-01,5.13
1973-03-01,5.29
1973-04-01,5.15
1973-05-01,5.15
1973-06-01,5.17
1973-07-01,5.4
1973-08-01,5.48
1973-09-01,5.1
1973-10-01,5.05
1973-11-01,5.18
1973-12-01,5.12
1974-01-01,5.22
1974-02-01,5.2
1974-03-01,5.4
1974-04-01,5.73
1974-05-01,6.02
1974-06-01,6.13
1974-07-01,6.68
1974-08-01,6.71
1974-09-01,6.76
1974-10-01,6.57
1974-11-01,6.61
1974-12-01,7.05
1975-01-01,6.82
1975-02-01,6.39
1975-03-01,6.73
1975-04-01,6.95
1975-05-01,6.97
1975-06-01,6.94
1975-07-01,7.07
1975-08-01,7.17
1975-09-01,7.44
1975-10-01,7.39
1975-11-01,7.43
1975-12-01,7.31
1976-01-01,7.07
1976-02-01,6.94
1976-03-01,6.91
1976-04-01,6.6
1976-05-01,6.87
1976-06-01,6.87
1976-07-01,6.79
1976-08-01,6.61
1976-09-01,6.51
1976-10-01,6.3
1976-11-01,6.29
1976-12-01,5.94
1977-01-01,5.87
1977-02-01,5.88
1977-03-01,5.89
1977-04-01,5.72
1977-05-01,5.75
1977-06-01,5.62
1977-07-01,5.63
1977-08-01,5.62
1977-09-01,5.51
1977-10-01,5.64
1977-11-01,5.49
1977-12-01,5.57
1978-01-01,5.71
1978-02-01,5.62
1978-03-01,5.61
1978-04-01,5.79
1978-05-01,6.03
1978-06-01,6.22
1978-07-01,6.28
1978-08-01,6.12
1978-09-01,6.09
1978-10-01,6.13
1978-11-01,6.19
1978-12-01,6.5
1979-01-01,6.46
1979-02-01,6.31
1979-03-01,6.33
1979-04-01,6.28
1979-05-01,6.25
1979-06-01,6.12
1979-07-01,6.13
1979-08-01,6.2
1979-09-01,6.52
1979-10-01,7.08
1979-11-01,7.3
1979-12-01,7.22
1980-01-01,7.35
1980-02-01,8.16
1980-03-01,9.16
1980-04-01,8.63
1980-05-01,7.59
1980-06-01,7.63
1980-07-01,8.13
1980-08-01,8.67
1980-09-01,8.94
1980-10-01,9.11
1980-11-01,9.56
1980-12-01,10.2
1981-01-01,9.66
1981-02-01,10.09
1981-03-01,10.16
1981-04-01,10.62
1981-05-01,10.77
1981-06-01,10.67
1981-07-01,11.14
1981-08-01,12.26
1981-09-01,12.92
1981-10-01,12.83
1981-11-01,11.89
1981-12-01,12.91
1982-01-01,13.28
1982-02-01,12.97
1982-03-01,12.82
1982-04-01,12.58
1982-05-01,11.95
1982-06-01,12.44
1982-07-01,12.28
1982-08-01,11.23
1982-09-01,10.66
1982-10-01,9.68
1982-11-01,10.06
1982-12-01,9.96
1983-01-01,9.5
1983-02-01,9.58
1983-03-01,9.2
1983-04-01,9.04
1983-05-01,9.11
1983-06-01,9.52
1983-07-01,9.53
1983-08-01,9.72
1983-09-01,9.58
1983-10-01,9.66
1983-11-01,9.74
1983-12-01,9.89
1984-01-01,9.63
1984-02-01,9.64
1984-03-01,9.94
1984-04-01,9.96
1984-05-01,10.49
1984-06-01,10.67
1984-07-01,10.42
1984-08-01,9.99
1984-09-01,10.1
1984-10-01,10.25
1984-11-01,10.17
1984-12-01,9.95
1985-01-01,9.51
1985-02-01,9.65
1985-03-01,9.77
1985-04-01,9.42
1985-05-01,9.01
1985-06-01,8.69
1985-07-01,8.81
1985-08-01,9.08
1985-09-01,9.27
1985-10-01,9.08
1985-11-01,8.54
1985-12-01,8.42
1986-01-01,8.08
1986-02-01,7.44
1986-03-01,7.08
1986-04-01,7.19
1986-05-01,7.54
1986-06-01,7.87
1986-07-01,7.51
1986-08-01,7.21
1986-09-01,7.11
1986-10-01,7.08
1986-11-01,6.84
1986-12-01,6.87
1987-01-01,6.66
1987-02-01,6.61
1987-03-01,6.65
1987-04-01,7.55
1987-05-01,8.0
1987-06-01,7.79
1987-07-01,7.72
1987-08-01,7.82
1987-09-01,8.26
1987-10-01,8.7
1987-11-01,7.95
1987-12-01,7.96
1988-01-01,7.69
1988-02-01,7.49
1988-03-01,7.74
1988-04-01,7.81
1988-05-01,7.91
1988-06-01,7.78
1988-07-01,7.76
1988-08-01,7.79
1988-09-01,7.66
1988-10-01,7.46
1988-11-01,7.46
1988-12-01,7.61
1989-01-01,7.35
1989-02-01,7.44
1989-03-01,7.59
1989-04-01,7.49
1989-05-01,7.25
1989-06-01,7.02
1989-07-01,6.96
1989-08-01,7.06
1989-09-01,7.26
1989-10-01,7.22
1989-11-01,7.14
1989-12-01,6.98
1990-01-01,7.1
1990-02-01,7.22
1990-03-01,7.29
1990-04-01,7.39
1990-05-01,7.35
1990-06-01,7.24
1990-07-01,7.19
1990-08-01,7.32
1990-09-01,7.43
1990-10-01,7.49
1990-11-01,7.18
1990-12-01,7.09
1991-01-01,7.08
1991-02-01,6.91
1991-03-01,7.1
1991-04-01,7.02
1991-05-01,6.95
1991-06-01,7.13
1991-07-01,7.05
1991-08-01,6.9
1991-09-01,6.8
1991-10-01,6.68
1991-11-01,6.73
1991-12-01,6.69
1992-01-01,6.54
1992-02-01,6.74
1992-03-01,6.76
1992-04-01,6.67
1992-05-01,6.57
1992-06-01,6.49
1992-07-01,6.13
1992-08-01,6.16
1992-09-01,6.25
1992-10-01,6.41
1992-11-01,6.36
1992-12-01,6.22
1993-01-01,6.16
1993-02-01,5.87
1993-03-01,5.64
1993-04-01,5.76
1993-05-01,5.73
1993-06-01,5.63
1993-07-01,5.57
1993-08-01,5.45
1993-09-01,5.29
1993-10-01,5.25
1993-11-01,5.47
1993-12-01,5.35
1994-01-01,5.31
1994-02-01,5.4
1994-03-01,5.91
1994-04-01,6.23
1994-05-01,6.19
1994-06-01,6.11
1994-07-01,6.23
1994-08-01,6.21
1994-09-01,6.28
1994-10-01,6.52
1994-11-01,6.97
1994-12-01,6.8
1995-01-01,6.53
1995-02-01,6.22
1995-03-01,6.1
1995-04-01,6.02
1995-05-01,5.95
1995-06-01,5.84
1995-07-01,5.92
1995-08-01,6.06
1995-09-01,5.91
1995-10-01,5.8
1995-11-01,5.64
1995-12-01,5.45
1996-01-01,5.43
1996-02-01,5.43
1996-03-01,5.79
1996-04-01,5.94
1996-05-01,5.98
1996-06-01,6.02
1996-07-01,5.92
1996-08-01,5.76
1996-09-01,5.87
1996-10-01,5.72
1996-11-01,5.59
1996-12-01,5.64
1997-01-01,5.72
1997-02-01,5.63
1997-03-01,5.76
1997-04-01,5.88
1997-05-01,5.7
1997-06-01,5.53
1997-07-01,5.35
1997-08-01,5.41
1997-09-01,5.39
1997-10-01,5.38
1997-11-01,5.33
1997-12-01,5.19
1998-01-01,5.06
1998-02-01,5.1
1998-03-01,5.21
1998-04-01,5.23
1998-05-01,5.2
1998-06-01,5.12
1998-07-01,5.14
1998-08-01,5.1
1998-09-01,4.99
1998-10-01,4.93
1998-11-01,5.03
1998-12-01,4.98
1999-01-01,5.01
1999-02-01,5.03
1999-03-01,5.1
1999-04-01,5.08
1999-05-01,5.18
1999-06-01,5.37
1999-07-01,5.36
1999-08-01,5.58
1999-09-01,5.69
1999-10-01,5.92
1999-11-01,5.86
1999-12-01,5.95
2000-01-01,6.08
2000-02-01,6.0
2000-03-01,5.83
2000-04-01,5.75
2000-05-01,6.0
2000-06-01,5.8
