date,value
1959-01-01,24.9242
1959-02-01,25.227
1959-03-01,25.4218
1959-04-01,25.7261
1959-05-01,26.0187
1959-06-01,26.2668
1959-07-01,26.4697
1959-08-01,26.6349
1959-09-01,26.7848
1959-10-01,26.9735
1959-11-01,27.1343
1959-12-01,27.5059
1960-01-01,27.623
1960-02-01,27.696
1960-03-01,27.7862
1960-04-01,27.8319
1960-05-01,27.8235
1960-06-01,27.7933
1960-07-01,27.8032
1960-08-01,27.8468
1960-09-01,27.9041
1960-10-01,27.9869
1960-11-01,27.9885
1960-12-01,28.1212
1961-01-01,28.1882
1961-02-01,28.2445
1961-03-01,28.3627
1961-04-01,28.3899
1961-05-01,28.4546
1961-06-01,28.6988
1961-07-01,28.8611
1961-08-01,28.9749
1961-09-01,29.0706
1961-10-01,29.1484
1961-11-01,29.2733
1961-12-01,29.548
1962-01-01,29.7869
1962-02-01,29.9882
1962-03-01,30.2195
1962-04-01,30.5167
1962-05-01,30.8503
1962-06-01,31.279
1962-07-01,31.6154
1962-08-01,31.9034
1962-09-01,32.2481
1962-10-01,32.6075
1962-11-01,32.9728
1962-12-01,33.292
1963-01-01,33.6825
1963-02-01,34.0682
1963-03-01,34.3532
1963-04-01,34.709
1963-05-01,35.1932
1963-06-01,35.8523
1963-07-01,36.3411
1963-08-01,36.7087
1963-09-01,37.0748
1963-10-01,37.4258
1963-11-01,37.7909
1963-12-01,38.0828
1964-01-01,38.5125
1964-02-01,39.0107
1964-03-01,39.3606
1964-04-01,39.6713
1964-05-01,39.9891
1964-06-01,40.2639
1964-07-01,40.666
1964-08-01,41.0241
1964-09-01,41.3936
1964-10-01,41.7183
1964-11-01,42.0462
1964-12-01,42.5067
1965-01-01,42.8883
1965-02-01,43.2338
1965-03-01,43.6767
1965-04-01,44.1391
1965-05-01,44.5438
1965-06-01,44.9974
1965-07-01,45.4582
1965-08-01,45.9554
1965-09-01,46.4854
1965-10-01,46.9676
1965-11-01,47.435
1965-12-01,47.8224
1966-01-01,48.3775
1966-02-01,48.9637
1966-03-01,49.4107
1966-04-01,49.8439
1966-05-01,50.1946
1966-06-01,50.7663
1966-07-01,51.0945
1966-08-01,51.3113
1966-09-01,51.6309
1966-10-01,51.9758
1966-11-01,52.2246
1966-12-01,52.542
1967-01-01,52.8101
1967-02-01,53.0139
1967-03-01,53.2514
1967-04-01,53.505
1967-05-01,53.7975
1967-06-01,54.1712
1967-07-01,54.5249
1967-08-01,54.8836
1967-09-01,55.3227
1967-10-01,55.7795
1967-11-01,56.2697
1967-12-01,56.8439
1968-01-01,57.3534
1968-02-01,57.9203
1968-03-01,58.4912
1968-04-01,59.0422
1968-05-01,59.5779
1968-06-01,60.2492
1968-07-01,60.5934
1968-08-01,60.833
1968-09-01,61.3226
1968-10-01,62.0005
1968-11-01,62.6616
1968-12-01,63.2818
1969-01-01,63.9303
1969-02-01,64.6501
1969-03-01,65.3117
1969-04-01,65.9054
1969-05-01,66.4363
1969-06-01,66.7475
1969-07-01,67.1591
1969-08-01,67.5101
1969-09-01,67.7711
1969-10-01,68.0342
1969-11-01,68.2572
1969-12-01,68.4205
1970-01-01,68.9435
1970-02-01,69.2433
1970-03-01,69.4233
1970-04-01,69.5445
1970-05-01,69.5922
1970-06-01,69.472
1970-07-01,69.6762
1970-08-01,69.8874
1970-09-01,70.1578
1970-10-01,70.4831
1970-11-01,70.7558
1970-12-01,71.3438
1971-01-01,71.7341
1971-02-01,72.1652
1971-03-01,72.8177
1971-04-01,73.5507
1971-05-01,74.296
1971-06-01,75.0391
1971-07-01,76.2853
1971-08-01,77.0427
1971-09-01,77.9896
1971-10-01,78.9773
1971-11-01,79.8791
1971-12-01,79.9843
1972-01-01,81.2625
1972-02-01,83.0947
1972-03-01,84.4289
1972-04-01,85.836
1972-05-01,87.1949
1972-06-01,88.2498
1972-07-01,89.7955
1972-08-01,91.426
1972-09-01,92.8494
1972-10-01,94.2773
1972-11-01,95.8342
1972-12-01,96.8695
1973-01-01,98.7011
1973-02-01,100.4561
1973-03-01,102.4606
1973-04-01,104.3032
1973-05-01,105.8163
1973-06-01,107.5113
1973-07-01,109.2387
1973-08-01,110.9024
1973-09-01,112.4848
1973-10-01,113.9684
1973-11-01,115.5313
1973-12-01,117.002
1974-01-01,117.9292
1974-02-01,119.4011
1974-03-01,120.9877
1974-04-01,122.7659
1974-05-01,124.1513
1974-06-01,125.292
1974-07-01,126.5844
1974-08-01,127.3706
1974-09-01,127.9814
1974-10-01,128.6274
1974-11-01,129.2202
1974-12-01,129.7876
1975-01-01,130.0257
1975-02-01,130.6318
1975-03-01,131.1786
1975-04-01,131.6391
1975-05-01,131.7233
1975-06-01,131.8532
1975-07-01,131.83
1975-08-01,131.9313
1975-09-01,132.1325
1975-10-01,132.863
1975-11-01,133.3819
1975-12-01,134.0939
1976-01-01,135.0484
1976-02-01,136.2984
1976-03-01,137.9788
1976-04-01,139.8826
1976-05-01,140.9549
1976-06-01,141.6213
1976-07-01,142.5971
1976-08-01,143.755
1976-09-01,144.7779
1976-10-01,146.071
1976-11-01,147.2806
1976-12-01,148.5136
1977-01-01,149.6394
1977-02-01,151.6731
1977-03-01,153.6788
1977-04-01,156.0952
1977-05-01,158.592
1977-06-01,160.6562
1977-07-01,162.9974
1977-08-01,165.634
1977-09-01,167.5557
1977-10-01,170.2452
1977-11-01,172.8184
1977-12-01,175.0673
1978-01-01,177.7143
1978-02-01,180.32
1978-03-01,183.0011
1978-04-01,185.8235
1978-05-01,188.9707
1978-06-01,192.106
1978-07-01,195.0134
1978-08-01,198.3252
1978-09-01,201.099
1978-10-01,204.5151
1978-11-01,207.5855
1978-12-01,210.462
1979-01-01,211.9456
1979-02-01,213.6288
1979-03-01,215.6358
1979-04-01,218.0995
1979-05-01,220.5903
1979-06-01,223.9688
1979-07-01,228.0921
1979-08-01,230.9436
1979-09-01,233.9281
1979-10-01,236.8872
1979-11-01,239.268
1979-12-01,241.6747
1980-01-01,244.1149
1980-02-01,247.048
1980-03-01,248.9923
1980-04-01,250.6829
1980-05-01,251.3254
1980-06-01,252.0475
1980-07-01,253.6243
1980-08-01,255.0428
1980-09-01,256.2875
1980-10-01,258.4035
1980-11-01,260.6068
1980-12-01,262.2834
1981-01-01,263.7707
1981-02-01,265.1531
1981-03-01,266.8392
1981-04-01,268.6235
1981-05-01,271.2572
1981-06-01,273.4038
1981-07-01,274.7618
1981-08-01,277.0577
1981-09-01,278.7288
1981-10-01,280.1515
1981-11-01,281.6173
1981-12-01,283.5867
1982-01-01,285.4002
1982-02-01,287.5623
1982-03-01,290.207
1982-04-01,291.8256
1982-05-01,293.82
1982-06-01,295.6466
1982-07-01,295.9582
1982-08-01,297.0876
1982-09-01,297.9524
1982-10-01,298.668
1982-11-01,299.2424
1982-12-01,299.653
1983-01-01,302.0905
1983-02-01,303.1623
1983-03-01,304.3282
1983-04-01,306.2567
1983-05-01,308.3139
1983-06-01,310.8249
1983-07-01,314.1926
1983-08-01,317.2201
1983-09-01,320.6919
1983-10-01,324.0551
1983-11-01,327.3763
1983-12-01,330.3526
1984-01-01,333.7075
1984-02-01,337.6043
1984-03-01,342.0163
1984-04-01,346.1789
1984-05-01,349.7492
1984-06-01,353.7386
1984-07-01,357.1593
1984-08-01,360.6726
1984-09-01,364.7314
1984-10-01,367.6312
1984-11-01,372.3966
1984-12-01,376.2431
