date,value
1959-01-01,62113.0
1959-04-01,63661.0
1959-07-01,65374.0
1959-10-01,66696.0
1960-01-01,68172.0
1960-04-01,69588.0
1960-07-01,70980.0
1960-10-01,72211.0
1961-01-01,73606.0
1961-04-01,74707.0
1961-07-01,76293.0
1961-10-01,77815.0
1962-01-01,79561.0
1962-04-01,80955.0
1962-07-01,82167.0
1962-10-01,83770.0
1963-01-01,85058.0
1963-04-01,86806.0
1963-07-01,87921.0
1963-10-01,89243.0
1964-01-01,90515.0
1964-04-01,92243.0
1964-07-01,93990.0
1964-10-01,95624.0
1965-01-01,97375.0
1965-04-01,99513.0
1965-07-01,101463.0
1965-10-01,103174.0
1966-01-01,104883.0
1966-04-01,107014.0
1966-07-01,108539.0
1966-10-01,110037.0
1967-01-01,111492.0
1967-04-01,113588.0
1967-07-01,115686.0
1967-10-01,117372.0
1968-01-01,119116.0
1968-04-01,121058.0
1968-07-01,122992.0
1968-10-01,126125.0
1969-01-01,130135.0
1969-04-01,133430.0
1969-07-01,136120.0
1969-10-01,138257.0
1970-01-01,140360.0
1970-04-01,143574.0
1970-07-01,145981.0
1970-10-01,150317.0
1971-01-01,154690.0
1971-04-01,158870.0
1971-07-01,162626.0
1971-10-01,166747.0
1972-01-01,171169.0
1972-04-01,174359.0
1972-07-01,177442.0
1972-10-01,180710.0
1973-01-01,184233.0
1973-04-01,186987.0
1973-07-01,190412.0
1973-10-01,194779.0
1974-01-01,199182.0
1974-04-01,202632.0
1974-07-01,206201.0
1974-10-01,208213.0
1975-01-01,210473.0
1975-04-01,212649.0
1975-07-01,214080.0
1975-10-01,219359.0
1976-01-01,225009.0
1976-04-01,231414.0
1976-07-01,235181.0
1976-10-01,237830.0
1977-01-01,240331.0
1977-04-01,246545.0
1977-07-01,251653.0
1977-10-01,256165.0
1978-01-01,265399.0
1978-04-01,274882.0
1978-07-01,284298.0
1978-10-01,295601.0
1979-01-01,303128.0
1979-04-01,309714.0
1979-07-01,316554.0
1979-10-01,322216.0
1980-01-01,327804.0
1980-04-01,333000.0
1980-07-01,338762.0
1980-10-01,344434.0
1981-01-01,351291.0
1981-04-01,355880.0
1981-07-01,364062.0
1981-10-01,372054.0
1982-01-01,382860.0
1982-04-01,393767.0
1982-07-01,403457.0
1982-10-01,413774.0
1983-01-01,424562.0
1983-04-01,440285.0
1983-07-01,449921.0
1983-10-01,461109.0
1984-01-01,497667.0
1984-04-01,513414.0
1984-07-01,534043.0
1984-10-01,547080.0
1985-01-01,573370.0
1985-04-01,602010.0
1985-07-01,625926.0
1985-10-01,719648.0
1986-01-01,723842.0
1986-04-01,757453.0
1986-07-01,769976.0
1986-10-01,792324.0
1987-01-01,824701.0
1987-04-01,839871.0
1987-07-01,859280.0
1987-10-01,878609.0
1988-01-01,887526.0
1988-04-01,898468.0
1988-07-01,909585.0
1988-10-01,924079.0
1989-01-01,931395.0
1989-04-01,939062.0
1989-07-01,950585.0
1989-10-01,968170.0
1990-01-01,986390.0
1990-04-01,994853.0
1990-07-01,1000100.0
1990-10-01,1011022.0
1991-01-01,1022461.0
1991-04-01,1036991.0
1991-07-01,1061699.0
1991-10-01,1099020.0
1992-01-01,1098089.0
1992-04-01,1102710.0
1992-07-01,1116303.0
1992-10-01,1112462.0
1993-01-01,1127921.0
1993-04-01,1147162.0
1993-07-01,1167108.0
1993-10-01,1167800.0
1994-01-01,1162367.0
1994-04-01,1144003.0
1994-07-01,1142334.0
1994-10-01,1121250.0
1995-01-01,1105679.0
1995-04-01,1090696.0
1995-07-01,1077051.0
1995-10-01,1059836.0
1996-01-01,1054264.0
1996-04-01,1050687.0
1996-07-01,1041929.0
1996-10-01,1039201.0
1997-01-01,1044304.0
1997-04-01,1051776.0
1997-07-01,1070894.0
1997-10-01,1090050.0
1998-01-01,1105510.0
1998-04-01,1123224.0
1998-07-01,1139398.0
1998-10-01,1156943.0
1999-01-01,1172619.0
1999-04-01,1178020.0
1999-07-01,1192242.0
1999-10-01,1195054.0
2000-01-01,1200207.0
2000-04-01,1193521.0
2000-07-01,1204994.0
2000-10-01,1212900.0
2001-01-01,1244817.0
2001-04-01,1264479.0
2001-07-01,1287567.0
2001-10-01,1319969.0
2002-01-01,1345200.0
2002-04-01,1380024.0
2002-07-01,1417600.0
2002-10-01,1463132.0
2003-01-01,1490507.0
2003-04-01,1535125.0
2003-07-01,1559887.0
2003-10-01,1586264.0
2004-01-01,2362260.0
2004-04-01,2419699.0
2004-07-01,2469831.0
2004-10-01,2505830.0
2005-01-01,2557308.0
2005-04-01,2601888.0
2005-07-01,2645776.0
2005-10-01,2673267.0
