date,value
1959-01-01,1969.9
1959-02-01,1961.3
1959-03-01,1792.6
1959-04-01,1799.4
1959-05-01,1786.9
1959-06-01,1767.6
1959-07-01,1751.6
1959-08-01,1779.4
1959-09-01,2085.0
1959-10-01,2096.8
1959-11-01,2013.7
1959-12-01,1997.5
1960-01-01,1984.1
1960-02-01,1924.7
1960-03-01,1887.7
1960-04-01,1875.0
1960-05-01,1839.3
1960-06-01,1806.8
1960-07-01,1811.4
1960-08-01,1758.4
1960-09-01,1705.0
1960-10-01,1625.2
1960-11-01,1610.2
1960-12-01,1554.8
1961-01-01,1576.2
1961-02-01,1566.0
1961-03-01,1555.2
1961-04-01,1730.1
1961-05-01,1745.9
1961-06-01,1704.9
1961-07-01,1644.6
1961-08-01,2111.5
1961-09-01,2063.9
1961-10-01,1840.9
1961-11-01,1806.9
1961-12-01,1805.9
1962-01-01,1802.8
1962-02-01,1717.0
1962-03-01,1685.7
1962-04-01,1673.4
1962-05-01,1666.5
1962-06-01,1963.3
1962-07-01,1602.5
1962-08-01,1499.6
1962-09-01,1528.3
1962-10-01,1409.7
1962-11-01,1272.2
1962-12-01,1163.4
1963-01-01,1203.9
1963-02-01,1223.3
1963-03-01,1242.5
1963-04-01,1225.9
1963-05-01,1259.6
1963-06-01,1234.7
1963-07-01,1138.1
1963-08-01,1140.9
1963-09-01,1204.0
1963-10-01,1307.8
1963-11-01,1208.1
1963-12-01,1247.0
1964-01-01,1340.9
1964-02-01,1252.5
1964-03-01,1344.0
1964-04-01,1171.9
1964-05-01,1162.5
1964-06-01,968.2
1964-07-01,998.6
1964-08-01,1033.4
1964-09-01,878.0
1964-10-01,779.5
1964-11-01,1449.2
1964-12-01,1201.4
1965-01-01,1134.9
1965-02-01,1001.9
1965-03-01,1190.9
1965-04-01,1112.3
1965-05-01,1058.0
1965-06-01,1453.8
1965-07-01,1337.6
1965-08-01,1676.4
1965-09-01,1537.2
1965-10-01,1443.4
1965-11-01,1409.9
1965-12-01,1385.0
1966-01-01,1154.5
1966-02-01,1150.8
1966-03-01,1287.9
1966-04-01,1247.9
1966-05-01,1322.5
1966-06-01,1428.8
1966-07-01,1735.2
1966-08-01,1695.6
1966-09-01,1520.0
1966-10-01,1568.6
1966-11-01,1453.1
1966-12-01,1646.7
1967-01-01,993.8
1967-02-01,836.5
1967-03-01,670.6
1967-04-01,671.7
1967-05-01,728.5
1967-06-01,1105.3
1967-07-01,1087.6
1967-08-01,1529.8
1967-09-01,1571.6
1967-10-01,1887.7
1967-11-01,2472.6
1967-12-01,2765.2
1968-01-01,2617.0
1968-02-01,2889.8
1968-03-01,3223.5
1968-04-01,3292.7
1968-05-01,3880.3
1968-06-01,3381.6
1968-07-01,3689.8
1968-08-01,3746.0
1968-09-01,3878.9
1968-10-01,3639.5
1968-11-01,4762.7
1968-12-01,4817.9
1969-01-01,4626.0
1969-02-01,4698.4
1969-03-01,4922.4
1969-04-01,5011.6
1969-05-01,4916.9
1969-06-01,4904.1
1969-07-01,4791.8
1969-08-01,5041.1
1969-09-01,5579.2
1969-10-01,5125.8
1969-11-01,4829.3
1969-12-01,5104.6
1970-01-01,5514.53
1970-02-01,5763.63
1970-03-01,5447.63
1970-04-01,5016.71
1970-05-01,4264.89
1970-06-01,4439.29
1970-07-01,4131.39
1970-08-01,3978.79
1970-09-01,4033.69
1970-10-01,3624.89
1970-11-01,3412.29
1970-12-01,3414.89
1971-01-01,3658.99
1971-02-01,3494.79
1971-03-01,3378.59
1971-04-01,3382.13
1971-05-01,3242.51
1971-06-01,2996.91
1971-07-01,2829.51
1971-08-01,1918.81
1971-09-01,1923.21
1971-10-01,1938.9
1971-11-01,1924.3
1971-12-01,2108.5652264574
1972-01-01,2878.0302943402
1972-02-01,2872.8188508733
1972-03-01,2813.161720429
1972-04-01,2810.705664602
1972-05-01,2854.5165326372
1972-06-01,2848.5965500153
1972-07-01,2599.5908500044
1972-08-01,2635.150863038
1972-09-01,2729.7965934605
1972-10-01,2825.465178233
1972-11-01,2819.3509064832
1972-12-01,2663.3223521224
1973-01-01,2566.3395064615
1973-02-01,2708.6212711269
1973-03-01,2714.4117289419
1973-04-01,2685.7851531187
1973-05-01,2697.8867274044
1973-06-01,2696.1597233707
1973-07-01,2700.8644703454
1973-08-01,2706.4136590849
1973-09-01,2710.9977715218
1973-10-01,2715.4612494209
1973-11-01,2720.7691690847
1973-12-01,2725.9564542107
1974-01-01,2913.3941164779
1974-02-01,2991.1558030317
1974-03-01,2936.2573773174
1974-04-01,2990.0241908209
1974-05-01,3217.4807927516
1974-06-01,3294.2171460284
1974-07-01,3259.9068463669
1974-08-01,3808.1359010438
1974-09-01,4241.1802699469
1974-10-01,4237.6951457309
1974-11-01,4187.2019939946
1974-12-01,4231.8475491293
1975-01-01,4313.0125553614
1975-02-01,4511.2953258836
1975-03-01,4635.8009837788
1975-04-01,4562.6316473342
1975-05-01,4659.8525817364
1975-06-01,4621.4712775831
