date,value
1959-01-01,8.322
1959-04-01,9.343
1959-07-01,9.412
1959-10-01,9.74
1960-01-01,9.777
1960-04-01,9.871
1960-07-01,10.265
1960-10-01,10.667
1961-01-01,11.008
1961-04-01,11.483
1961-07-01,11.903
1961-10-01,12.542
1962-01-01,12.41
1962-04-01,13.234
1962-07-01,13.745
1962-10-01,14.138
1963-01-01,13.92
1963-04-01,14.098
1963-07-01,14.521
1963-10-01,14.977
1964-01-01,15.604
1964-04-01,16.191
1964-07-01,16.829
1964-10-01,17.295
1965-01-01,17.898
1965-04-01,18.289
1965-07-01,18.901
1965-10-01,19.215
1966-01-01,20.045
1966-04-01,20.786
1966-07-01,21.746
1966-10-01,22.69
1967-01-01,23.454
1967-04-01,24.245
1967-07-01,24.605
1967-10-01,25.043
1968-01-01,25.412
1968-04-01,25.831
1968-07-01,26.617
1968-10-01,28.198
1969-01-01,31.326
1969-04-01,32.48
1969-07-01,34.127
1969-10-01,35.04
1970-01-01,37.103
1970-04-01,39.31
1970-07-01,41.66
1970-10-01,42.87
1971-01-01,43.522
1971-04-01,44.33
1971-07-01,44.923
1971-10-01,45.019
1972-01-01,46.067
1972-04-01,47.61
1972-07-01,49.914
1972-10-01,52.341
1973-01-01,53.384
1973-04-01,55.786
1973-07-01,59.792
1973-10-01,62.847
1974-01-01,67.058
1974-04-01,71.558
1974-07-01,75.132
1974-10-01,80.596
1975-01-01,85.007
1975-04-01,84.706
1975-07-01,85.662
1975-10-01,85.603
1976-01-01,84.328
1976-04-01,86.518
1976-07-01,87.666
1976-10-01,89.734
1977-01-01,95.454
1977-04-01,99.365
1977-07-01,104.159
1977-10-01,108.813
1978-01-01,111.065
1978-04-01,114.57
1978-07-01,116.923
1978-10-01,121.595
1979-01-01,126.8
1979-04-01,133.741
1979-07-01,141.5
1979-10-01,155.515
1980-01-01,171.18
1980-04-01,177.65
1980-07-01,183.828
1980-10-01,203.396
1981-01-01,203.837
1981-04-01,223.039
1981-07-01,249.296
1981-10-01,257.368
1982-01-01,269.758
1982-04-01,276.817
1982-07-01,272.905
1982-10-01,272.496
1983-01-01,276.121
1983-04-01,276.941
1983-07-01,290.148
1983-10-01,303.17
1984-01-01,308.124
1984-04-01,326.968
1984-07-01,342.635
1984-10-01,346.724
1985-01-01,351.77
1985-04-01,350.811
1985-07-01,348.997
1985-10-01,357.58
1986-01-01,375.16
1986-04-01,378.44
1986-07-01,374.284
1986-10-01,371.423
1987-01-01,367.338
1987-04-01,374.793
1987-07-01,380.365
1987-10-01,390.69
1988-01-01,393.458
1988-04-01,399.122
1988-07-01,415.484
1988-10-01,430.795
1989-01-01,453.568
1989-04-01,463.202
1989-07-01,469.596
1989-10-01,467.251
1990-01-01,472.791
1990-04-01,471.551
1990-07-01,470.767
1990-10-01,469.33
1991-01-01,454.294
1991-04-01,442.57
1991-07-01,437.373
1991-10-01,417.918
1992-01-01,412.029
1992-04-01,404.132
1992-07-01,394.89
1992-10-01,392.873
1993-01-01,400.911
1993-04-01,391.078
1993-07-01,384.927
1993-10-01,382.725
1994-01-01,377.455
1994-04-01,384.393
1994-07-01,390.237
1994-10-01,406.483
1995-01-01,408.328
1995-04-01,408.9
1995-07-01,409.6
1995-10-01,407.861
1996-01-01,400.673
1996-04-01,410.916
1996-07-01,418.747
1996-10-01,433.215
1997-01-01,440.916
1997-04-01,448.991
1997-07-01,459.137
1997-10-01,472.872
1998-01-01,492.793
1998-04-01,513.183
1998-07-01,523.969
1998-10-01,517.377
1999-01-01,513.634
1999-04-01,502.837
1999-07-01,520.876
1999-10-01,538.024
2000-01-01,556.201
2000-04-01,592.167
2000-07-01,623.329
2000-10-01,643.246
2001-01-01,651.572
2001-04-01,654.057
2001-07-01,632.554
2001-10-01,570.216
2002-01-01,547.92
2002-04-01,553.025
2002-07-01,547.821
2002-10-01,552.417
2003-01-01,544.685
2003-04-01,521.359
2003-07-01,515.709
2003-10-01,493.336
2004-01-01,451.682
2004-04-01,449.415
2004-07-01,458.651
2004-10-01,476.402
2005-01-01,511.613
2005-04-01,556.532
2005-07-01,590.198
2005-10-01,638.176
2006-01-01,644.154
2006-04-01,726.186
2006-07-01,723.389
2006-10-01,714.65
2007-01-01,752.06
2007-04-01,830.011
2007-07-01,828.14
2007-10-01,843.819
2008-01-01,828.794
2008-04-01,837.486
2008-07-01,884.027
2008-10-01,856.801
2009-01-01,776.05
2009-04-01,719.411
2009-07-01,669.74
2009-10-01,659.758
2010-01-01,646.243
2010-04-01,621.6
2010-07-01,584.241
2010-10-01,588.956
2011-01-01,591.599
2011-04-01,580.475
2011-07-01,553.859
2011-10-01,573.64
2012-01-01,621.629
2012-04-01,640.974
2012-07-01,569.003
2012-10-01,608.263
2013-01-01,562.264
2013-04-01,543.393
2013-07-01,551.903
2013-10-01,553.427
2014-01-01,559.952
2014-04-01,575.304
2014-07-01,596.602
2014-10-01,614.913
2015-01-01,632.318
2015-04-01,672.871
2015-07-01,673.226
2015-10-01,666.352
2016-01-01,669.733
2016-04-01,658.738
