date,value
2002-12-18,629407.0
2002-12-25,629412.0
2003-01-01,629416.0
2003-01-08,629416.0
2003-01-15,629416.0
2003-01-22,629416.0
2003-01-29,629416.0
2003-02-05,629411.0
2003-02-12,630957.0
2003-02-19,631273.0
2003-02-26,636006.0
2003-03-05,637149.0
2003-03-12,638724.0
2003-03-19,639899.0
2003-03-26,640901.0
2003-04-02,641482.0
2003-04-09,645084.0
2003-04-16,646795.0
2003-04-23,646901.0
2003-04-30,647281.0
2003-05-07,647580.0
2003-05-14,647947.0
2003-05-21,650735.0
2003-05-28,650869.0
2003-06-04,651413.0
2003-06-11,651613.0
2003-06-18,651932.0
2003-06-25,652003.0
2003-07-02,652363.0
2003-07-09,652461.0
2003-07-16,652700.0
2003-07-23,652837.0
2003-07-30,652866.0
2003-08-06,653034.0
2003-08-13,653288.0
2003-08-20,653526.0
2003-08-27,653681.0
2003-09-03,653941.0
2003-09-10,655602.0
2003-09-17,655953.0
2003-09-24,656003.0
2003-10-01,656196.0
2003-10-08,656280.0
2003-10-15,656499.0
2003-10-22,656764.0
2003-10-29,658682.0
2003-11-05,658885.0
2003-11-12,660289.0
2003-11-19,662713.0
2003-11-26,664525.0
2003-12-03,665242.0
2003-12-10,665610.0
2003-12-17,665953.0
2003-12-24,666216.0
2003-12-31,666665.0
2004-01-07,666720.0
2004-01-14,666798.0
2004-01-21,666832.0
2004-01-28,667060.0
2004-02-04,667292.0
2004-02-11,669851.0
2004-02-18,670786.0
2004-02-25,671527.0
2004-03-03,671632.0
2004-03-10,673039.0
2004-03-17,673153.0
2004-03-24,673995.0
2004-03-31,674084.0
2004-04-07,674294.0
2004-04-14,674717.0
2004-04-21,674937.0
2004-04-28,676383.0
2004-05-05,677811.0
2004-05-12,677835.0
2004-05-19,679618.0
2004-05-26,680633.0
2004-06-02,681483.0
2004-06-09,683932.0
2004-06-16,684993.0
2004-06-23,685177.0
2004-06-30,687391.0
2004-07-07,687893.0
2004-07-14,690309.0
2004-07-21,692299.0
2004-07-28,693717.0
2004-08-04,693734.0
2004-08-11,693746.0
2004-08-18,694760.0
2004-08-25,694840.0
2004-09-01,694858.0
2004-09-08,694869.0
2004-09-15,695703.0
2004-09-22,698161.0
2004-09-29,698617.0
2004-10-06,701586.0
2004-10-13,701617.0
2004-10-20,702813.0
2004-10-27,706730.0
2004-11-03,708130.0
2004-11-10,708909.0
2004-11-17,710134.0
2004-11-24,711595.0
2004-12-01,712891.0
2004-12-08,717072.0
2004-12-15,717661.0
2004-12-22,717682.0
2004-12-29,717813.0
2005-01-05,717821.0
2005-01-12,717823.0
2005-01-19,717825.0
2005-01-26,717827.0
2005-02-02,717898.0
2005-02-09,717879.0
2005-02-16,717859.0
2005-02-23,717839.0
2005-03-02,717495.0
2005-03-09,717505.0
2005-03-16,717515.0
2005-03-23,717526.0
2005-03-30,717536.0
2005-04-06,717351.0
2005-04-13,717380.0
2005-04-20,717409.0
2005-04-27,718638.0
2005-05-04,719372.0
2005-05-11,721565.0
2005-05-18,721629.0
2005-05-25,722992.0
2005-06-01,725426.0
2005-06-08,725460.0
2005-06-15,725495.0
2005-06-22,725987.0
2005-06-29,726022.0
2005-07-06,724717.0
2005-07-13,724712.0
2005-07-20,724707.0
2005-07-27,724702.0
2005-08-03,724700.0
2005-08-10,724703.0
2005-08-17,727339.0
2005-08-24,729579.0
2005-08-31,730380.0
2005-09-07,730418.0
2005-09-14,733268.0
2005-09-21,733388.0
2005-09-28,736082.0
2005-10-05,737592.0
2005-10-12,737672.0
2005-10-19,738015.0
2005-10-26,739542.0
2005-11-02,740614.0
2005-11-09,741717.0
2005-11-16,742878.0
2005-11-23,744301.0
2005-11-30,744168.0
2005-12-07,744179.0
2005-12-14,744189.0
2005-12-21,744200.0
2005-12-28,744210.0
2006-01-04,742870.0
2006-01-11,744479.0
2006-01-18,745685.0
2006-01-25,746588.0
2006-02-01,748840.0
2006-02-08,748828.0
2006-02-15,751327.0
2006-02-22,752549.0
2006-03-01,754682.0
2006-03-08,755576.0
2006-03-15,757213.0
2006-03-22,757257.0
2006-03-29,758529.0
2006-04-05,758551.0
2006-04-12,758563.0
2006-04-19,758575.0
2006-04-26,759683.0
2006-05-03,759704.0
2006-05-10,759737.0
2006-05-17,759651.0
2006-05-24,762378.0
2006-05-31,762411.0
2006-06-07,764877.0
2006-06-14,766245.0
2006-06-21,766297.0
2006-06-28,766349.0
2006-07-05,766385.0
2006-07-12,766414.0
2006-07-19,764731.0
2006-07-26,764763.0
2006-08-02,764815.0
2006-08-09,764828.0
2006-08-16,764842.0
2006-08-23,764855.0
2006-08-30,766738.0
2006-09-06,766757.0
2006-09-13,768874.0
2006-09-20,768895.0
2006-09-27,768915.0
2006-10-04,768932.0
2006-10-11,768945.0
2006-10-18,766651.0
2006-10-25,768422.0
2006-11-01,769918.0
2006-11-08,770425.0
2006-11-15,770050.0
2006-11-22,771873.0
2006-11-29,772610.0
2006-12-06,774215.0
2006-12-13,775603.0
2006-12-20,777638.0
2006-12-27,778938.0
2007-01-03,778910.0
2007-01-10,778898.0
2007-01-17,778887.0
2007-01-24,778875.0
2007-01-31,778863.0
2007-02-07,778876.0
2007-02-14,778889.0
2007-02-21,778902.0
2007-02-28,780793.0
2007-03-07,780818.0
2007-03-14,780842.0
2007-03-21,780866.0
2007-03-28,780890.0
2007-04-04,780926.0
2007-04-11,782816.0
2007-04-18,782860.0
2007-04-25,787149.0
2007-05-02,787210.0
2007-05-09,790025.0
2007-05-16,790103.0
2007-05-23,790182.0
2007-05-30,790260.0
2007-06-06,790322.0
2007-06-13,790380.0
2007-06-20,790439.0
2007-06-27,790497.0
2007-07-04,790553.0
2007-07-11,790606.0
2007-07-18,790660.0
2007-07-25,790714.0
2007-08-01,790802.0
2007-08-08,790820.0
2007-08-15,789601.0
2007-08-22,789619.0
2007-08-29,784637.0
2007-09-05,779640.0
2007-09-12,779638.0
2007-09-19,779635.0
2007-09-26,779633.0
2007-10-03,779624.0
2007-10-10,779608.0
2007-10-17,779591.0
2007-10-24,779574.0
2007-10-31,779586.0
2007-11-07,779613.0
2007-11-14,779639.0
2007-11-21,779670.0
2007-11-28,779693.0
2007-12-05,779715.0
2007-12-12,774735.0
2007-12-19,769755.0
2007-12-26,754612.0
2008-01-02,740627.0
2008-01-09,728203.0
2008-01-16,728259.0
2008-01-23,723315.0
2008-01-30,718371.0
2008-02-06,713376.0
2008-02-13,713369.0
2008-02-20,713362.0
2008-02-27,713355.0
2008-03-05,713388.0
2008-03-12,703436.0
2008-03-19,660484.0
2008-03-26,612305.0
2008-04-02,581240.0
2008-04-09,560114.0
2008-04-16,548632.0
2008-04-23,548661.0
2008-04-30,548692.0
2008-05-07,536714.0
2008-05-14,515656.0
2008-05-21,502863.0
2008-05-28,491091.0
2008-06-04,486937.0
2008-06-11,482073.0
2008-06-18,478734.0
2008-06-25,478796.0
2008-07-02,478866.0
2008-07-09,478951.0
2008-07-16,479036.0
2008-07-23,479121.0
2008-07-30,479206.0
2008-08-06,479330.0
2008-08-13,479434.0
2008-08-20,479538.0
2008-08-27,479642.0
2008-09-03,479726.0
2008-09-10,479782.0
2008-09-17,479839.0
2008-09-24,486578.0
2008-10-01,491121.0
2008-10-08,490684.0
2008-10-15,490660.0
2008-10-22,490617.0
