date,value
1959-01-01,1.426
1960-01-01,1.523
1961-01-01,1.71
1962-01-01,2.119
1963-01-01,2.327
1964-01-01,2.511
1965-01-01,2.728
1966-01-01,3.002
1967-01-01,3.461
1968-01-01,4.065
1969-01-01,4.786
1970-01-01,5.74
1971-01-01,6.842
1972-01-01,8.333
1973-01-01,10.233
1974-01-01,11.922
1975-01-01,13.872
1976-01-01,15.317
1977-01-01,16.81
1978-01-01,18.436
1979-01-01,19.764
1980-01-01,21.869
1981-01-01,23.82
1982-01-01,26.359
1983-01-01,28.699
1984-01-01,29.246
1985-01-01,30.046
1986-01-01,30.627
1987-01-01,30.526
1988-01-01,31.55
1989-01-01,35.021
1990-01-01,34.067
1991-01-01,40.864
1992-01-01,45.502
1993-01-01,46.799
1994-01-01,47.738
1995-01-01,52.998
1996-01-01,48.759
1997-01-01,46.25
1998-01-01,37.588
1999-01-01,34.476
2000-01-01,28.437
2001-01-01,43.047
2002-01-01,62.868
2003-01-01,92.281
2004-01-01,82.678
2005-01-01,82.482
2006-01-01,86.375
2007-01-01,81.881
2008-01-01,87.898
2009-01-01,148.367
2010-01-01,145.621
2011-01-01,142.367
2012-01-01,157.234
2013-01-01,147.884
2014-01-01,141.868
2015-01-01,149.791
2016-01-01,163.885
2017-01-01,169.77
2018-01-01,161.644
2019-01-01,180.526
2020-01-01,167.822
2021-01-01,158.84
2022-01-01,127.765
2023-01-01,165.723
2024-01-01,162.963
