system,form,deterministic,k_ar_diff,null_rank_at_most,trace_stat,cv_90,cv_95,cv_99,reject_at_5pct
implied,levels,constant (statsmodels det_order=0),4,0,60.37,65.82,69.82,77.82,False
implied,levels,constant (statsmodels det_order=0),4,1,31.58,44.49,47.85,54.68,False
implied,levels,constant (statsmodels det_order=0),4,2,15.98,27.07,29.8,35.46,False
implied,levels,constant (statsmodels det_order=0),4,3,4.97,13.43,15.49,19.93,False
implied,levels,constant (statsmodels det_order=0),4,4,1.7,2.71,3.84,6.63,False
implied,levels,linear trend (statsmodels det_order=1),4,0,67.79,75.1,79.34,87.77,False
implied,levels,linear trend (statsmodels det_order=1),4,1,38.55,51.65,55.25,62.52,False
implied,levels,linear trend (statsmodels det_order=1),4,2,23.39,32.06,35.01,41.08,False
implied,levels,linear trend (statsmodels det_order=1),4,3,10.6,16.16,18.4,23.15,False
implied,levels,linear trend (statsmodels det_order=1),4,4,1.33,2.71,3.84,6.63,False
implied,differences,constant (statsmodels det_order=0),3,0,210.88,65.82,69.82,77.82,True
implied,differences,constant (statsmodels det_order=0),3,1,136.14,44.49,47.85,54.68,True
implied,differences,constant (statsmodels det_order=0),3,2,82.48,27.07,29.8,35.46,True
implied,differences,constant (statsmodels det_order=0),3,3,47.52,13.43,15.49,19.93,True
implied,differences,constant (statsmodels det_order=0),3,4,15.92,2.71,3.84,6.63,True
implied,differences,linear trend (statsmodels det_order=1),3,0,216.24,75.1,79.34,87.77,True
implied,differences,linear trend (statsmodels det_order=1),3,1,141.46,51.65,55.25,62.52,True
implied,differences,linear trend (statsmodels det_order=1),3,2,85.55,32.06,35.01,41.08,True
implied,differences,linear trend (statsmodels det_order=1),3,3,50.21,16.16,18.4,23.15,True
implied,differences,linear trend (statsmodels det_order=1),3,4,16.02,2.71,3.84,6.63,True
market,levels,constant (statsmodels det_order=0),1,0,78.5,44.49,47.85,54.68,True
market,levels,constant (statsmodels det_order=0),1,1,41.07,27.07,29.8,35.46,True
market,levels,constant (statsmodels det_order=0),1,2,19.28,13.43,15.49,19.93,True
market,levels,constant (statsmodels det_order=0),1,3,3.58,2.71,3.84,6.63,False
market,levels,linear trend (statsmodels det_order=1),1,0,104.46,51.65,55.25,62.52,True
market,levels,linear trend (statsmodels det_order=1),1,1,65.68,32.06,35.01,41.08,True
market,levels,linear trend (statsmodels det_order=1),1,2,30.3,16.16,18.4,23.15,True
market,levels,linear trend (statsmodels det_order=1),1,3,9.89,2.71,3.84,6.63,True
market,differences,constant (statsmodels det_order=0),2,0,296.83,44.49,47.85,54.68,True
market,differences,constant (statsmodels det_order=0),2,1,174.7,27.07,29.8,35.46,True
market,differences,constant (statsmodels det_order=0),2,2,104.41,13.43,15.49,19.93,True
market,differences,constant (statsmodels det_order=0),2,3,38.53,2.71,3.84,6.63,True
market,differences,linear trend (statsmodels det_order=1),2,0,297.43,51.65,55.25,62.52,True
market,differences,linear trend (statsmodels det_order=1),2,1,175.01,32.06,35.01,41.08,True
market,differences,linear trend (statsmodels det_order=1),2,2,104.63,16.16,18.4,23.15,True
market,differences,linear trend (statsmodels det_order=1),2,3,38.74,2.71,3.84,6.63,True
