measure,sample,lags,controls,regressor,n_obs,sum_coef,joint_p
cpi,full_1959_2026,2,none,mortgage,238,0.0854,0.0343
cpi,full_1959_2026,2,none,consumer,238,0.0276,0.0428
cpi,full_1959_2026,2,none,federal,238,0.0145,0.8996
cpi,full_1959_2026,2,none,ALL THREE (joint),238,,0.0205
cpi,full_1959_2026,2,base,mortgage,238,0.0907,0.0235
cpi,full_1959_2026,2,base,consumer,238,0.0287,0.0276
cpi,full_1959_2026,2,base,federal,238,-0.0054,0.9682
cpi,full_1959_2026,2,base,ALL THREE (joint),238,,0.017
cpi,full_1959_2026,2,base+output,mortgage,238,0.0958,0.0251
cpi,full_1959_2026,2,base+output,consumer,238,0.0432,0.0301
cpi,full_1959_2026,2,base+output,federal,238,-0.0055,0.9859
cpi,full_1959_2026,2,base+output,ALL THREE (joint),238,,0.0515
cpi,full_1959_2026,4,none,mortgage,236,0.0703,0.1181
cpi,full_1959_2026,4,none,consumer,236,0.0338,0.0103
cpi,full_1959_2026,4,none,federal,236,0.016,0.8514
cpi,full_1959_2026,4,none,ALL THREE (joint),236,,0.0069
cpi,full_1959_2026,4,base,mortgage,236,0.092,0.0687
cpi,full_1959_2026,4,base,consumer,236,0.038,0.0032
cpi,full_1959_2026,4,base,federal,236,-0.0391,0.7886
cpi,full_1959_2026,4,base,ALL THREE (joint),236,,0.0052
cpi,full_1959_2026,4,base+output,mortgage,236,0.0924,0.1405
cpi,full_1959_2026,4,base+output,consumer,236,0.0309,0.0085
cpi,full_1959_2026,4,base+output,federal,236,-0.0381,0.8581
cpi,full_1959_2026,4,base+output,ALL THREE (joint),236,,0.0622
cpi,post_1981_break,2,none,mortgage,175,0.0844,0.0592
cpi,post_1981_break,2,none,consumer,175,0.0167,0.0984
cpi,post_1981_break,2,none,federal,175,0.0337,0.4693
cpi,post_1981_break,2,none,ALL THREE (joint),175,,0.0758
cpi,post_1981_break,2,base,mortgage,175,0.0831,0.0481
cpi,post_1981_break,2,base,consumer,175,0.0176,0.0822
cpi,post_1981_break,2,base,federal,175,0.0347,0.571
cpi,post_1981_break,2,base,ALL THREE (joint),175,,0.0835
cpi,post_1981_break,2,base+output,mortgage,175,0.0831,0.0577
cpi,post_1981_break,2,base+output,consumer,175,0.0156,0.1418
cpi,post_1981_break,2,base+output,federal,175,0.0387,0.4702
cpi,post_1981_break,2,base+output,ALL THREE (joint),175,,0.1814
cpi,post_1981_break,4,none,mortgage,173,0.0887,0.1869
cpi,post_1981_break,4,none,consumer,173,-0.0214,0.0193
cpi,post_1981_break,4,none,federal,173,0.0465,0.581
cpi,post_1981_break,4,none,ALL THREE (joint),173,,0.0838
cpi,post_1981_break,4,base,mortgage,173,0.0972,0.1204
cpi,post_1981_break,4,base,consumer,173,-0.0153,0.0131
cpi,post_1981_break,4,base,federal,173,0.0171,0.9538
cpi,post_1981_break,4,base,ALL THREE (joint),173,,0.0859
cpi,post_1981_break,4,base+output,mortgage,173,0.0942,0.184
cpi,post_1981_break,4,base+output,consumer,173,-0.0303,0.0292
cpi,post_1981_break,4,base+output,federal,173,0.0219,0.8182
cpi,post_1981_break,4,base+output,ALL THREE (joint),173,,0.2543
cpi,pre_covid_1959_2019,2,none,mortgage,213,0.0791,0.0152
cpi,pre_covid_1959_2019,2,none,consumer,213,0.0292,0.0045
cpi,pre_covid_1959_2019,2,none,federal,213,-0.0119,0.4091
cpi,pre_covid_1959_2019,2,none,ALL THREE (joint),213,,0.0051
cpi,pre_covid_1959_2019,2,base,mortgage,213,0.0846,0.0131
cpi,pre_covid_1959_2019,2,base,consumer,213,0.0308,0.0018
cpi,pre_covid_1959_2019,2,base,federal,213,-0.0271,0.3587
cpi,pre_covid_1959_2019,2,base,ALL THREE (joint),213,,0.0038
cpi,pre_covid_1959_2019,2,base+output,mortgage,213,0.0897,0.0155
cpi,pre_covid_1959_2019,2,base+output,consumer,213,0.0527,0.0011
cpi,pre_covid_1959_2019,2,base+output,federal,213,-0.0253,0.3833
cpi,pre_covid_1959_2019,2,base+output,ALL THREE (joint),213,,0.0082
cpi,pre_covid_1959_2019,4,none,mortgage,211,0.0654,0.0356
cpi,pre_covid_1959_2019,4,none,consumer,211,0.0478,0.0003
cpi,pre_covid_1959_2019,4,none,federal,211,-0.0193,0.3895
cpi,pre_covid_1959_2019,4,none,ALL THREE (joint),211,,0.0004
cpi,pre_covid_1959_2019,4,base,mortgage,211,0.0845,0.0448
cpi,pre_covid_1959_2019,4,base,consumer,211,0.0481,0.0004
cpi,pre_covid_1959_2019,4,base,federal,211,-0.0531,0.3658
cpi,pre_covid_1959_2019,4,base,ALL THREE (joint),211,,0.0023
cpi,pre_covid_1959_2019,4,base+output,mortgage,211,0.0793,0.1259
cpi,pre_covid_1959_2019,4,base+output,consumer,211,0.0267,0.0016
cpi,pre_covid_1959_2019,4,base+output,federal,211,-0.0502,0.4213
cpi,pre_covid_1959_2019,4,base+output,ALL THREE (joint),211,,0.0252
pce,full_1959_2026,2,none,mortgage,238,0.0551,0.0699
pce,full_1959_2026,2,none,consumer,238,0.0117,0.1594
pce,full_1959_2026,2,none,federal,238,0.0178,0.7012
pce,full_1959_2026,2,none,ALL THREE (joint),238,,0.0397
pce,full_1959_2026,2,base,mortgage,238,0.0587,0.0456
pce,full_1959_2026,2,base,consumer,238,0.0118,0.1131
pce,full_1959_2026,2,base,federal,238,0.0052,0.9531
pce,full_1959_2026,2,base,ALL THREE (joint),238,,0.0308
pce,full_1959_2026,2,base+output,mortgage,238,0.0609,0.0502
pce,full_1959_2026,2,base+output,consumer,238,0.0181,0.1121
pce,full_1959_2026,2,base+output,federal,238,0.0058,0.9682
pce,full_1959_2026,2,base+output,ALL THREE (joint),238,,0.0467
pce,full_1959_2026,4,none,mortgage,236,0.0431,0.2958
pce,full_1959_2026,4,none,consumer,236,0.0241,0.028
pce,full_1959_2026,4,none,federal,236,0.021,0.8092
pce,full_1959_2026,4,none,ALL THREE (joint),236,,0.0258
